City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Camana,PE,65.62,broken clouds,-16.6228,-72.7111,Hostal Morales
Half Moon Bay,US,76.53,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
Meulaboh,ID,75.96,overcast clouds,4.1363,96.1285,Kost Pria
Trabzon,TR,71.69,broken clouds,40.9167,39.8333,SANDALS HOTEL
Villanueva De La Serena,ES,75.29,overcast clouds,38.9766,-5.7974,Hotel Veracruz
Bitung,ID,72.45,broken clouds,1.4451,125.1824,K2 Lembeh
Shingu,JP,69.67,overcast clouds,33.7333,135.9833,Shingu UI Hotel
Kelvington,CA,67.14,clear sky,52.1667,-103.5343,Sportsman Motel
Sirsilla,IN,75.24,overcast clouds,18.3833,78.8333,Guest rooms
Bowen,AU,73.13,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
Saint-Joseph,RE,66.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
Lata,PT,71.92,clear sky,40.1629,-8.3327,Casa Maquia
Turayf,SA,73.65,clear sky,31.6725,38.6637,Al Mudawah Hotel
Limulunga,ZM,73.72,few clouds,-15.0969,23.1376,Acamms Gardens
Saint-Pierre,RE,67.68,clear sky,-21.3393,55.4781,Alize Plage
Veraval,IN,79.36,few clouds,20.9,70.3667,Lords Inn Somnath
Ndjole,GA,73.63,moderate rain,-0.1783,10.7649,Motel Kédyann
Perepravnaya,RU,65.32,overcast clouds,44.3366,40.7849,Хостел Светлана
Pangkalanbuun,ID,74.16,light rain,-2.6833,111.6167,Grand Kecubung Hotel
Aguimes,ES,72.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
Kendari,ID,76.62,overcast clouds,-3.945,122.4989,Hotel Wixel
Powell,US,67.59,scattered clouds,40.1578,-83.0752,The Brig
Shellbrook,CA,67.23,clear sky,53.2168,-106.4011,Shellbrook Hotel
Fort-Shevchenko,KZ,66.65,overcast clouds,44.5086,50.263,Oasis hotel Bautino
Binga,ZW,76.5,clear sky,-17.6203,27.3414,Lakeview Inn Binga
Guerrero Negro,MX,73.87,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
Kendallville,US,69.49,clear sky,41.4414,-85.265,Best Western Kendallville Inn
Huarmey,PE,68.0,scattered clouds,-10.0681,-78.1522,Hotel Miramar
